Division;Department
1;Gramedia Bogor Botani Dept
1;Gramedia Bogor Pajajaran Dept
1;Gramedia Cibinong City Mall Dept
1;Gramedia Cijantung Dept
1;Gramedia Cileungsi Dept
1;Gramedia Citra Grand Cibubur Dept
1;Gramedia Depok Dept
1;Gramedia Depok The Park Sawangan Dept
1;Gramedia Jayapura Dept
1;Gramedia Kendari Lippo Dept
1;Gramedia Kupang Dept
1;Gramedia Living World Cibubur Dept
1;Gramedia Mataram Dept
1;Gramedia Maumere Dept
1;Gramedia Palu Dept
1;Gramedia Pejaten Dept
1;Gramedia Pondok Gede Dept
1;Gramedia Sorong Dept
1;Gramedia Sukabumi Dept
2;Gramedia Central Park Dept
2;Gramedia Gajah Mada Dept
2;Gramedia Grand Indonesia Dept
2;Gramedia Makassar Nipah Park Dept
2;Gramedia Makassar Panakkukang Dept
2;Gramedia Makassar Pettarani Dept
2;Gramedia Makassar Ratu Indah Dept
2;Gramedia Mal Artha Gading Dept
2;Gramedia Mal Ciputra Dept
2;Gramedia Mal Kelapa Gading Dept
2;Gramedia Maluku City Mall Dept
2;Gramedia Matraman Dept
2;Gramedia Pintu Air Dept
2;Gramedia Pluit Emporium Dept
2;Gramedia Ternate Dept
3;Gramedia Banjarbaru QMall Dept
3;Gramedia Banjarmasin Duta Mall Dept
3;Gramedia Banjarmasin Veteran Dept
3;Gramedia Cilacap Dept
3;Gramedia Cirebon Cipto Dept
3;Gramedia Cirebon Dept
3;Gramedia Madiun Dept
3;Gramedia Palangka Raya Duta Mall Dept
3;Gramedia Purbalingga Dept
3;Gramedia Purwokerto Gelora Indah Dept
3;Gramedia Purwokerto Rita Mall Dept
3;Gramedia Semarang Majapahit Dept
3;Gramedia Semarang Pandanaran Dept
3;Gramedia Semarang Setiabudi Dept
3;Gramedia Solo Slamet Riyadi Dept
3;Gramedia Solo Square Dept
3;Gramedia Tegal Rita Mall Dept
3;Gramedia Yogyakarta City Mall Dept
3;Gramedia Yogyakarta Malioboro Mall Dept
3;Gramedia Yogyakarta Pakuwon Dept
3;Gramedia Yogyakarta Sudirman Dept
4;Gramedia AEON Mall Dept
4;Gramedia Batam City Square Dept
4;Gramedia BSD City Dept
4;Gramedia Cikupa Dept
4;Gramedia Cilegon Dept
4;Gramedia Daan Mogot Dept
4;Gramedia Dumai Citimall Dept
4;Gramedia Gading Serpong Dept
4;Gramedia Grand Batam Dept
4;Gramedia Karawaci Dept
4;Gramedia Lampung Boemi Kedaton Dept
4;Gramedia Lampung Dept
4;Gramedia Padang Dept
4;Gramedia Pamulang Siliwangi Dept
4;Gramedia Pekanbaru Jend Sudirman Dept
4;Gramedia Pekanbaru Mal SKA Dept
4;Gramedia Pekanbaru Mall Dept
4;Gramedia Puri Indah Dept
4;Gramedia Puri Lippo Mall Dept
4;Gramedia Serang Dept
5;Gramedia Balikpapan Dept
5;Gramedia Balikpapan MT Haryono Dept
5;Gramedia Bangka Dept
5;Gramedia Bengkulu Meranti Dept
5;Gramedia Bintaro Emerald Dept
5;Gramedia Bintaro Plaza Dept
5;Gramedia Gandaria City Dept
5;Gramedia Jambi Dept
5;Gramedia Melawai Dept
5;Gramedia Palembang Atmo Dept
5;Gramedia Palembang Burlian Dept
5;Gramedia Pangkalan Bun Dept
5;Gramedia Pondok Indah Mall Dept
5;Gramedia Pontianak Dept
5;Gramedia Pontianak GAIA Dept
5;Gramedia Samarinda Big Mall Dept
5;Gramedia Samarinda Dept
5;Gramedia Tarakan Dept
6;Gramedia Aceh Dept
6;Gramedia Bandung Buah Batu Dept
6;Gramedia Bandung Festival Citylink Dept
6;Gramedia Bandung Merdeka Dept
6;Gramedia Bandung Paris Van Java Dept
6;Gramedia Bandung Summarecon Dept
6;Gramedia Bandung Trans Studio Mall Dept
6;Gramedia Bandung WR Supratman Dept
6;Gramedia Bekasi LW Grand Wisata Dept
6;Gramedia Bekasi Mega Dept
6;Gramedia Bekasi MM Dept
6;Gramedia CBD Karawang Dept
6;Gramedia Cikarang Pollux Dept
6;Gramedia Cimahi Dept
6;Gramedia Garut Dept
6;Gramedia Grand Bekasi Dept
6;Gramedia Harapan Indah Dept
6;Gramedia Indramayu Gatot Subroto Dept
6;Gramedia Karawang Resinda Park Dept
6;Gramedia Medan Gama Dept
6;Gramedia Medan Manhattan Dept
6;Gramedia Medan Sun Plaza Dept
6;Gramedia Purwakarta Dept
6;Gramedia Subang Otto Iskandardinata Dept
6;Gramedia Tasikmalaya Dept
7;Gramedia Bali Duta Plaza Dept
7;Gramedia Bali Galeria Mall Dept
7;Gramedia Bali Gatot Subroto Dept
7;Gramedia Bali Teuku Umar Dept
7;Gramedia Bojonegoro Dept
7;Gramedia Gorontalo Dept
7;Gramedia Jember Dept
7;Gramedia Kediri Dept
7;Gramedia Malang Basuki Rahmad Dept
7;Gramedia Malang Olympic Garden Dept
7;Gramedia Malang Tlogomas Dept
7;Gramedia Manado Samratulangi Dept
7;Gramedia Manado Town Square Dept
7;Gramedia Sidoarjo Pahlawan Dept
7;Gramedia Surabaya Expo Dept
7;Gramedia Surabaya Mal Pakuwon Dept
7;Gramedia Surabaya Manyar Dept
7;Gramedia Surabaya Royal Plaza Dept
7;Gramedia Surabaya Tunjungan Plaza Dept
